PropertyName,PropertyAddress,City,State,Zip,County,CountyCode,CensusTract,CongressionalDistrict,Latitude,Longitude,TargetTenantType,S8_1_ProgramName,LIHTC_1_ProgramName
MISSION CITY LIGHTS,9121 Sepulveda Blvd,Los Angeles,CA,91343-6968,Los Angeles,6037,6037117201,29,34.2359,-118.46757,Family,,9% Tax Credit
VALLEY VIEW,9015 Orion Ave,Los Angeles,CA,91343-4296,Los Angeles,6037,6037117405,29,34.23401,-118.47206,Family,,9% Tax Credit
WOODLAND TERRACE,15532 Nordhoff St,Los Angeles,CA,91343-3263,Los Angeles,6037,6037117405,29,34.23545,-118.47049,,,4% Tax Credit
ORION GARDENS APARTMENTS,8955 Orion Ave,Los Angeles,CA,91343-4310,Los Angeles,6037,6037117405,29,34.23292,-118.47207,Family,,9% Tax Credit
RAYEN APARTMENTS,15320 Rayen St,Los Angeles,CA,91343-5165,Los Angeles,6037,6037117520,29,34.2318,-118.46597,,,9% Tax Credit
RAINBOW HOMES,15917 Chase St,Los Angeles,CA,91343-6305,Los Angeles,6037,6037117404,29,34.224997,-118.478936,Disabled,PRAC/811,
THE CROSSINGS AT NORTH HILLS,9333 Sepulveda Blvd,Los Angeles,CA,91343,Los Angeles,6037,6037117201,29,34.23974,-118.46754,Family,,9% Tax Credit
ND SEPULVEDA I,16000 Lassen St,Los Angeles,CA,91343-1685,Los Angeles,6037,6037117202,29,34.24914,-118.48113,,,9% Tax Credit
ND SEPULVEDA II,9700 Woodley Ave,Los Angeles,CA,91343-1944,Los Angeles,6037,6037117202,29,34.2474,-118.48375,,,9% Tax Credit
LANKERSHIM ARMS,7628 Lankershim Blvd,Los Angeles,CA,91605-2887,Los Angeles,6037,6037121900,29,34.209205,-118.38659,Family,Sec 8 NC,
RUNNYMEDE HOLIDAY APARTMENTS,11750 Runnymede St,Los Angeles,CA,91605-3221,Los Angeles,6037,6037122410,29,34.205621,-118.388891,Family,Preservation,
CASA LINDA II,11233 Hatteras St,Los Angeles,CA,91601-1249,Los Angeles,6037,6037124203,29,34.17605,-118.37581,Family,HFDA/8 NC,
CASA LINDA I,11425 Tiara St,Los Angeles,CA,91601-1124,Los Angeles,6037,6037124102,29,34.17859,-118.38028,Family,HFDA/8 NC,
CASA LINDA III,5654 Fulcher Ave,Los Angeles,CA,91601-1945,Los Angeles,6037,6037124204,29,34.17372,-118.3727,Family,HFDA/8 NC,
SIMPSON ARBOR APARTMENTS,7507 Simpson Ave,Los Angeles,CA,91605-3225,Los Angeles,6037,6037122410,29,34.20676,-118.38913,Family,LMSA,9% Tax Credit
LAS CASITAS III,6845 Hinds Ave,Los Angeles,CA,91605-6068,Los Angeles,6037,6037123203,29,34.19534,-118.39139,Family,HFDA/8 NC,
LAS CASITAS I,11301 Hatteras St,Los Angeles,CA,91601-1294,Los Angeles,6037,6037124203,29,34.176059,-118.376811,Family,HFDA/8 NC,
HAMLIN ESTATES,11735 Hamlin St,Los Angeles,CA,91606-2858,Los Angeles,6037,6037123901,29,34.18903,-118.38895,Family,Sec 8 NC,4% Tax Credit
NORTH HOLLYWOOD SR CITIZENS,11035 Magnolia Blvd,Los Angeles,CA,91601-3851,Los Angeles,6037,6037125320,29,34.16545,-118.37112,Elderly,202/8 NC,
GARDEN VILLAS,5530 Klump Ave,Los Angeles,CA,91601-2494,Los Angeles,6037,6037125310,29,34.170651,-118.375091,Disabled,PRAC/811,
GOLDEN YEARS SR,11330 Otsego St,Los Angeles,CA,91601-3793,Los Angeles,6037,6037125401,29,34.16269,-118.37818,Elderly,PRAC/202,
HARMONY GATE,5220 Harmony Ave,Los Angeles,CA,91601-5518,Los Angeles,6037,6037125320,29,34.16545,-118.36608,,,9% Tax Credit
HARMONY GARDENS,5239 Harmony Ave,Los Angeles,CA,91601-5532,Los Angeles,6037,6037125320,29,34.16552,-118.36653,Family,,9% Tax Credit
WOODBRIDGE PARK APARTMENTS,11220 Moorpark St,Los Angeles,CA,91602-2647,Los Angeles,6037,6037143200,30,34.1495,-118.37515,,,4% Tax Credit
VANOWEN GARDENS,11754 Vanowen St,Los Angeles,CA,91605-6171,Los Angeles,6037,6037123203,29,34.19362,-118.38968,Family,,9% Tax Credit
PARK PLAZA SENIOR APARTMENTS,6755 Rhodes Ave,Los Angeles,CA,91606-1380,Los Angeles,6037,6037123304,29,34.19326,-118.40315,Elderly,,9% Tax Credit
PARK PLAZA WEST SENIOR APARTMENTS,6750 Whitsett Ave,Los Angeles,CA,91606-1394,Los Angeles,6037,6037123304,29,34.19305,-118.40515,Elderly,,4% Tax Credit
NOHO SENIOR TERRACES,10747 Magnolia Blvd,Los Angeles,CA,91601-4093,Los Angeles,6037,6037125320,29,34.16499,-118.36508,Elderly,,4% Tax Credit
COLONIA CORONA APARTMENTS,13036 Sherman Way,Los Angeles,CA,91605-4992,Los Angeles,6037,6037123420,29,34.20071,-118.41746,Family,,4% Tax Credit
